codigo,actividad,mujeres_hrs_sem,hombres_hrs_sem,diferencia
440,Otras actividades de cuidado a miembros del hogar con discapacidad o dependencia,0.03149779735682819,0.0200131774007577,0.011484619956070492
422,Cuidado temporal de salud a miembros del hogar de 15 a 59 años,0.02953989231522271,0.015401087135562513,0.014138805179660197
420,Otras actividades de cuidado y apoyo a miembros del hogar de 15 a 59 años,0.02812041116005874,0.031159062208312747,-0.0030386510482540083
335,"Llevar a lavar, planchar o reparar ropa o calzado o recogerlos",0.02753303964757709,0.008620216328995773,0.018912823318581316
13,Búsqueda de trabajo o inicio de un negocio,0.025330396475770924,0.10514467687915224,-0.07981428040338132
222,"Confección de prendas de vestir, de otros productos textiles y de zapatos",0.024669603524229075,0.00205896886839071,0.022610634655838364
210,Otras actividades primarias para el autoconsumo,0.02180616740088106,0.02577829023225169,-0.00397212283137063
221,Preparación de conservas de productos alimenticios y de bebidas,0.019579050416054823,0.02555866688629001,-0.005979616470235188
4421,Cuidado temporal de salud a miembros del hogar con discapacidad o dependencia pe,0.01791483113069016,0.011475319826497556,0.006439511304192604
330,Otras actividades de limpieza y cuidado de ropa y calzado,0.017792462065589817,0.008126063800582001,0.009666398265007816
214,"Caza, pesca y recolección de productos silvícolas silvestres, excepto leña",0.012530592266275087,0.056635370339867125,-0.04410477807359204
532,Trabajo voluntario en actividades de educación,0.011380323054331865,0.002223686377861967,0.009156636676469898
4431,Acompañamiento y traslado a centros de atención de salud a miembros del hogar co,0.009887420460107684,0.001180475484544007,0.008706944975563676
343,"Limpieza, mantenimiento y reparaciones menores de vehículos de uso propio del ho",0.009544787077826725,0.13737440289902816,-0.12782961582120145
334,Limpieza y mantenimiento de calzado,0.00829662261380323,0.008922198429693075,-0.000625575815889845
220,"Elaboración de otros productos de actividades no primarias (cerámica, muebles,ca",0.007488986784140969,0.004666996101685609,0.0028219906824553595
232,Compras y traslados relacionados con la construcción de uso final propio,0.007244248653940284,0.024872343930159777,-0.017628095276219495
231,Construcción de viviendas y otras edificaciones para uso final propio,0.0070239843367596675,0.07071871739965958,-0.06369473306289991
740,Otras actividades de práctica deportiva y ejercicio físico,0.0065100342633382284,0.012628342392796355,-0.006118308129458127
230,Otras actividades de construcción para uso final propio,0.00531081742535487,0.029621698786581014,-0.024310881361226146
342,Mantenimiento y reparaciones menores de bienes del hogar y efectos personales,0.005163974547234459,0.059215944654916815,-0.054051970107682354
217,Aprovechamiento de minas y canteras,0.005139500734214391,0.0004941525284137704,0.00464534820580062
340,"Otras actividades de mantenimiento, instalación y reparaciones menores de bienes",0.0033529123837493886,0.035441717454565425,-0.03208880507081604
531,Trabajo voluntario en actividades de salud,0.0009789525208027412,0.0,0.0009789525208027412
363,Comprar vehículos e inmuebles,0.00041605482134116496,0.0010432108933179597,-0.0006271560719767948
4332,"Acompañamiento y traslados para gestiones legales, administrativas y financieras",0.0,0.001482457585241311,-0.001482457585241311
4410,Otras actividades de cuidado a miembros del hogar con discapacidad o dependencia,0.0,0.0,0.0
